400;1.583362697
600;1.558229956
800;1.533097215
1000;1.482831732
2000;1.43256625
4000;1.130973355
5000;0.785398163
5080;0.71578047
5200;0.625805257
5400;0.522258363
5500;0.480663676
5600;0.383022976
5700;0.290785816
5800;0.226194671
5900;0.175929189
6000;0.065345127
6100;-0.016587609
6200;-0.099525655
6300;-0.151801757
6400;-0.284502631
6500;-0.370707933
6600;-0.441330936
6700;-0.546134467
7000;-0.676070739
7080;-0.719701178
8000;-0.980176908
10000;-1.23150432
30000;-1.419999879
55000;-1.523672437
60000;-1.533097215
65000;-1.555088364
